fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,1083
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,1084
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6,1085
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,1086
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6,1087
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,1088
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,1089
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,1090
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,1091
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4,1092
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,1093
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,1094
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,1095
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,1096
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,1097
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,1098
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,1099
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,1100
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6,1101
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6,1102
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,1103
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6,1104
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7,1105
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,1106
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,1107
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,1108
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,1109
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,1110
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,1111
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,1112
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,1113
7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,1114
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5,1115
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,1116
5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,1117
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6,1118
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,1119
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,1120
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,1121
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,1122
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6,1123
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3,1124
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,1125
8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6,1126
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6,1127
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,1128
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6,1129
6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6,1130
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,1131
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,1132
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,1133
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,1134
6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,5,1135
6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6,1136
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,1137
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,1138
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,1139
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,1140
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7,1141
7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8,1142
6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5,1143
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5,1144
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,1145
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,1146
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,1147
7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4,1148
6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5,1149
6.7,0.53,0.29,4.3,0.069,20,114,0.99014,3.22,0.59,13.4,6,1150
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,1151
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,1152
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4,1153
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5,1154
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6,1155
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,1156
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,1157
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,1158
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5,1159
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7,1160
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5,1161
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6,1162
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5,1163
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,1164
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,1165
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6,1166
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,1167
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7,1168
6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,1169
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,1170
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6,1171
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,1172
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,1173
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,1174
6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,1175
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,1176
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,1177
5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,6,1178
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5,1179
6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,7,1180
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7,1181
8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7,1182
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,1183
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4,1184
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5,1185
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6,1186
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,1187
7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5,1188
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,1189
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,1190
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,1191
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,1192
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5,1193
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,1194
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6,1195
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,1196
7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5,1197
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6,1198
7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,5,1199
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7,1200
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6,1201
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,1202
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5,1203
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,1204
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7,1205
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6,1206
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,1207
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6,1208
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,1209
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6,1210
7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,4,1211
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,1212
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6,1213
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,1214
6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,3,1215
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5,1216
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,1217
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,1218
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,1219
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,1220
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,1221
6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6,1222
5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,6,1223
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,1224
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7,1225
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,1226
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6,1227
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,1228
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,1229
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,1230
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5,1231
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5,1232
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,1233
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,1234
6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6,1235
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,1236
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,1237
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6,1238
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,1239
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,1240
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5,1241
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,1242
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5,1243
9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5,1244
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,1245
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,1246
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5,1247
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7,1248
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7,1249
7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6,1250
7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,6,1251
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5,1252
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6,1253
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,1254
7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1,6,1255
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7,1256
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,1257
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,1258
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5,1259
5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,6,1260
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,5,1261
6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6,1262
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6,1263
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5,1264
6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,7,1265
8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5,1266
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6,1267
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5,1268
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6,1269
7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,1270
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,1271
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,1272
6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7,1273
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,1274
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6,1275
8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6,1276
6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7,1277
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,1278
8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6,1279
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7,1280
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5,1281
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,1282
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6,1283
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,1284
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6,1285
5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,6,1286
